title,company,location,duration,stipend,hiring_since,oppor_posted,perks,skills,openings
Social Media Marketing,Alphaabets Digital Labs Private Limited,Bangalore,3 Months," 10,000 /month",Hiring since February 2022,31 opportunities posted,Job offer,"Adobe Creative Suite,Adobe Photoshop,Articulate Storyline,Digital Marketing,Social Media Marketing,Video Editing",2
Web Development,Meridian Voyage,Work From Home,2 Months," 2,000-2,500 /month",Hiring since October 2021,6 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,1
Stock Market Management,Stock Tackler,Work From Home,1 Month," 1,000-5,000 /month",Hiring since September 2022,5 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","Digital Marketing,Sales and Marketing,Salesforce,Stock Trading",15
Google Adwords,Ampexcel Technologies,Work From Home,3 Months," 3,000-15,000 /month",Hiring since April 2022,25 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Digital Marketing,Google AdWords,Google Analytics,Search Engine Marketing (SEM)",5
Operations Support,Sakal Media Group,Nashik,6 Months," 5,000 /month",Hiring since October 2020,5 opportunities posted,"Certificate,Letter of recommendation",,2
Marketing,Sybrox Inc,Delhi,3 Months," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","Digital Marketing,English Proficiency (Written)",1
Human Resources (HR),Lighthouse Communities Foundation,Pune,1 Month," 3,000-5,000 /month",Hiring since October 2022,4 opportunities posted,Certificate,"English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",2
Business Development (Sales),MillionNeuron,Delhi,1 Month," 2,000 /month +  Incentives",Hiring since February 2022,7 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",English Proficiency (Spoken),2
Hindi Translation,QA Solvers,Work From Home,4 Months," 5,000-8,000 /month",Hiring since November 2020,415 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Written),Hindi Proficiency (Written)",5
DevOps & Site Reliability Engineering,RedCarpetUp,Work From Home,6 Months," 20,000-25,000 /month",Hiring since November 2013,554 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,1
Loan Collection,Medius Technologies Private Limited,Work From Home,6 Months," 6,000 /month",Hiring since June 2021,404 opportunities posted,Flexible work hours,,20
Graphic Design,Revalsar Ayurveda,Delhi,4 Months," 10,000 /month",Hiring since March 2022,3 opportunities posted,Certificate,"Adobe Illustrator,Adobe Photoshop,UI & UX Design,Video Editing",2
Robotics & IoT Tutoring,KitOLit Private Limited,Hyderabad,6 Months," 10,000 /month",Hiring since June 2022,7 opportunities posted,"Certificate,Letter of recommendation,5 days a week,Job offer","Arduino,Internet of Things (IoT),Raspberry Pi",4
Social Media Marketing,Safar Wanderlust,Indore,3 Months," 5,000 /month",Hiring since August 2022,6 opportunities posted,Certificate,,2
Business Development (Sales),SAIIOS,Pune,6 Months," 15,000 /month",Hiring since March 2020,5 opportunities posted,"Informal dress code,Free snacks & beverages","Email Marketing,English Proficiency (Spoken),English Proficiency (Written)",2
Recruitment (IT),Pixeled Apps,Work From Home,2 Months," 3,000 /month",Hiring since June 2020,46 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week",Recruitment,4
Business Development (Sales),Safar Wanderlust,Indore,3 Months," 10,000 /month",Hiring since August 2022,6 opportunities posted,Certificate,,5
Accounts & Finance,SAIIOS,Pune,6 Months," 10,000 /month",Hiring since March 2020,5 opportunities posted,"Letter of recommendation,Informal dress code,Free snacks & beverages","Accounting,MS-Excel",2
Business Development (Sales),Indore Petrocon Industries,Indore,2 Months," 6,000 /month",Hiring since May 2020,4 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week,Free snacks & beverages","English Proficiency (Spoken),Hindi Proficiency (Spoken),MS-Office",2
Business Development (Sales),Visionum Global Private Limited,Work From Home,2 Months," 1,000 /month +  Incentives",Hiring since August 2022,10 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel",5
Business Development (Sales),Enerjazz,Delhi,4 Months," 15,000-25,000 /month",Hiring since March 2018,103 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,Job offer","English Proficiency (Spoken),MS-Excel",3
Business Development (Sales),White Shadows E-Sports,Work From Home,3 Months," 25,000-50,000 /month",Hiring since August 2020,38 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Job offer","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),MS-Excel,Social Media Marketing",5
Graphic Design,Herbal Hope,Work From Home,3 Months," 1,000-3,000 /month",Hiring since October 2022,2 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe Creative Suite,Adobe Illustrator,Adobe Photoshop,Adobe Photoshop Lightroom CC,Canva,CorelDRAW,UI & UX Design",4
Digital Marketing,Refresh Kid LLC,Work From Home,3 Months," 8,000 /month",Hiring since April 2020,53 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Content Marketing,Creative Writing,Digital Advertising,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",1
UI/UX Design,Girl Power Talk,Work From Home,6 Months," 4,000-8,000 /month",Hiring since June 2019,166 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe Illustrator,Adobe Photoshop,Adobe XD,Figma",2
Digital Marketing,Digi Grow Hub Education,Pune,3 Months," 12,000 /month",Hiring since September 2021,47 opportunities posted,"Certificate,Letter of recommendation,Informal dress code","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",2
Human Resources (HR),Eduminatti,Work From Home,2 Months," 12,000 /month",Hiring since February 2022,317 opportunities posted,"Certificate,Letter of recommendation","English Proficiency (Spoken),English Proficiency (Written),MS-Excel,MS-Office,MS-Word",4
UI/UX Design,Eduminatti,Work From Home,2 Months," 10,000 /month",Hiring since February 2022,317 opportunities posted,"Certificate,Letter of recommendation",Figma,10
Graphic Design,Eduminatti,Work From Home,2 Months," 12,000 /month",Hiring since February 2022,317 opportunities posted,"Certificate,Letter of recommendation","Adobe Photoshop,UI & UX Design",4
Video Making/Editing,Eduminatti,Work From Home,2 Months," 12,000 /month",Hiring since February 2022,317 opportunities posted,"Certificate,Letter of recommendation,Job offer","Adobe After Effects,Adobe Premiere Pro",10
Mechanical Engineering,Craste,Pune,6 Months," 8,000-12,000 /month",Hiring since May 2018,35 opportunities posted,"Letter of recommendation,Flexible work hours,Informal dress code","MATLAB,MS-Excel",1
Social Media Management,Pal Softwares,Work From Home,3 Months," 2,000 /month",Hiring since October 2021,14 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",Digital Marketing,4
Business Development (Sales),ParkPay,Chennai,1 Month," 5,000 /month +  Incentives",Hiring since March 2021,12 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","English Proficiency (Spoken),Sales and Marketing",2
Human Resources (HR),BZ Consultant,Ghaziabad,3 Months," 8,000 /month",Hiring since March 2022,18 opportunities posted,"Certificate,Letter of recommendation,5 days a week",,5
Graphic Design,United-Well Being Foundation,Work From Home,6 Months,Unpaid,Hiring since June 2022,13 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Adobe Creative Suite,Adobe Dreamweaver,Adobe Illustrator,Design Thinking",8
Content Writing,Free-thesis.com,Work From Home,2 Months," 8,000 /month",Hiring since August 2019,18 opportunities posted,,,2
Business Development (Sales),JEUXFUN PRIVATE LIMITED,Work From Home,2 Months," 18,000-35,000 /month",Hiring since July 2022,8 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","English Proficiency (Spoken),MS-Excel",12
Machine Learning,Newgen Creations Private Limited,Bangalore,2 Months," 2,000 /month",Hiring since March 2018,128 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week,Free snacks & beverages",Machine Learning,2
Digital Marketing,TAG Projects,Hyderabad,3 Months," 18,000-25,000 /month",Hiring since November 2022,1 opportunity posted,"Flexible work hours,Free snacks & beverages","Digital Marketing,Email Marketing,Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO)",1
Content Writing,Zealopus,Work From Home,3 Months," 12,000 /month",Hiring since December 2021,33 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week","Creative Writing,English Proficiency (Spoken),English Proficiency (Written)",8
Social Media Marketing,URTEQi,Ahmedabad,3 Months," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Creative Writing,Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Facebook Marketing,Instagram Marketing,Search Engine Marketing (SEM),Search Engine Optimization (SEO),Social Media Marketing",5
Law/Legal,Nikhil Kumar & Associates,Prayagraj,4 Months," 15,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Informal dress code,Free snacks & beverages","English Proficiency (Spoken),English Proficiency (Written)",1
Business Development (Sales),S.D Enterprises,Bangalore,3 Months," 10,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code","MS-Excel,MS-Word,Sales and Marketing",3
Web Development,FUTK Private Limited,Patiala,6 Months," 15,000 /month",Hiring since August 2022,24 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","CSS,HTML,JavaScript",12
Graphic Design,GrowYT,Work From Home,5 Months," 7,000 /month",Hiring since April 2020,23 opportunities posted,Certificate,,2
PHP Development,FUTK Private Limited,Chandigarh,6 Months," 12,000 /month",Hiring since August 2022,24 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","HTML,MySQL,PHP",15
Content Writing,Learning Brothers,Kanpur,6 Months," 5,000-10,000 /month",Hiring since June 2017,176 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,Informal dress code,5 days a week","Content Writing,Creative Writing,Design Thinking,English Proficiency (Spoken),English Proficiency (Written)",10
Graphic Design,URTEQi,Ahmedabad,6 Months," 10,000 /month",Hiring since November 2022,3 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours","Adobe After Effects,Adobe Creative Suite,Adobe Illustrator,Adobe Indesign,Adobe Photoshop,Adobe Photoshop Lightroom CC,Adobe Premiere Pro,CorelDRAW,UI & UX Design,Video Editing",4
Social Media Marketing,Jankalyan Multipurpose Education Society,Work From Home,1 Week,Unpaid,Hiring since December 2019,3684 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours",,25
Fashion Design,Tanmay Garments,Delhi,3 Months," 5,000-10,000 /month",Hiring since October 2020,11 opportunities posted,"Certificate,Informal dress code,Free snacks & beverages",,20
Lead Generation (Marketing),Leadbrand Design,Work From Home,2 Months," 2,000-5,000 /month",Hiring since November 2022,1 opportunity posted,"Certificate,Flexible work hours","Digital Marketing,Email Marketing,English Proficiency (Spoken),English Proficiency (Written),Social Media Marketing",1
Business Development (Sales),The Burger Company,Gurgaon,3 Months," 20,000 /month",Hiring since August 2021,6 opportunities posted,"Certificate,Letter of recommendation,Informal dress code,5 days a week","Email Marketing,English Proficiency (Spoken),MS-Excel",2
Stock Market Management,Karnik Hoda,Work From Home,3 Weeks," 1,000-5,000 /month",Hiring since June 2022,13 opportunities posted,"Certificate,Letter of recommendation,Flexible work hours,5 days a week,Job offer","Digital Marketing,Salesforce,Stock Trading",20
Video Making/Editing,FreshersCamp,Work From Home,6 Months," 1,500 /month",Hiring since November 2019,37 opportunities posted,Flexible work hours,"English Proficiency (Spoken),Video Editing,Video Making",2
Content Writing,FreshersCamp,Work From Home,6 Months," 1,000 /month",Hiring since November 2019,37 opportunities posted,Flexible work hours,"Digital Marketing,English Proficiency (Written),Search Engine Optimization (SEO),Social Media Marketing",2
